7473895,8888888
2393922,3848927
3949052,3848927
8888888,3848927
3848927,8888881
3413423,9595949
4849392,9595949
1030901,9595949
8888881,9595949
9595949,8888882
2919191,4747288
3919391,4747288
3981813,4747288
8888882,4747288
4747288,8888883
8888888,3848592
8888883,3848592
3848592,2939484
4829194,1928392
2939484,1928392
1928392,4383592
4383592,2949492
2949492,4849888
4849888,2384942
3747849,3848924
8888883,3848924
3848924,3194924
8888888,2939404
3194924,2939404
2939404,4825483
1921933,2849492
4825483,2849492
2849492,1133483
1133483,4294921
4294921,4849959
4849959,2384942
