3121513111,"k=\frac{2 \pi}{\lambda}"
5900595848,"k=\frac{\omega}{v}"
1293923844,"\lambda = v\ T"
0404050504,"\lambda = \frac{v}{f}"
0934990943,"k = \frac{2 \pi}{v\ T}"
3131211131,"\omega=2 \pi f"
3131111133,"T=1/f"
2131616531,"T\ f=1"
2113211456,"f=1/T"
3132131132,"\omega=\frac{2\pi}{T}"
2569154141,"\vec{\nabla} \times \frac{\partial}{\partial t}\vec{H} = \epsilon_0 \frac{\partial^2 }{\partial t^2}\vec{E}"
1314864131,"\vec{\nabla} \times \vec{H} = \epsilon_0 \frac{\partial }{\partial t}\vec{E}"
9492920340,"y = \cos(x)+i \sin(x)"
9429829482,"\frac{d}{dx} y= -\sin(x) + i\cos(x)"
9482984922,"\frac{d}{dx} y= (i\sin(x) + \cos(x))\ i"
9848294829,"\frac{d}{dx} y= y\ i"
9848292229,"dy = y\ i\ dx"
9482113948,"\frac{dy}{y} = i\ dx"
9482943948,"\log(y) = i\ dx"
4928239482,"\log(y) = i\ x"
4923339482,"i\ x = \log(y)"
9482923849,"\exp(i\ x) = y"
4938429483,"\exp(i\ x) = \cos(x)+i \sin(x)"
4838429483,"\exp(2i\ x) = \cos(2x)+i \sin(2x)"
4638429483,"\exp(2i\ x) = (\cos(x)+i \sin(x))(\cos(x)+i \sin(x))"
4598294821,"\exp(2i\ x) = (\cos(x))^2+2i\cos(x)\sin(x)-(\sin(x))^2"
9483928192,"\cos(2x)+i\sin(2x) = (\cos(x))^2+2i\cos(x)\sin(x)-(\sin(x))^2"
4858429483,"\exp(i\ x)\exp(i\ x) = (\cos(x)+i \sin(x))(\cos(x)+i \sin(x))"
4954839242,"\cos(2x)+i\sin(2x) = (\cos(x)+i \sin(x))(\cos(x)+i \sin(x))"
9482928242,"\cos(2x)=(\cos(x))^2 - (\sin(x))^2"
9482928243,"\cos(2x)+(\sin(x))^2=(\cos(x))^2"
9482438243,"(\cos(x))^2=\cos(2x)+(\sin(x))^2"
5832984291,"(\sin(x))^2 + (\cos(x))^2=1"
3285732911,"(\cos(x))^2 = 1-(\sin(x))^2"
4827492911,"\cos(2x)+(\sin(x))^2 = 1-(\sin(x))^2"
1248277773,"\cos(2x) = 1-2(\sin(x))^2"
7572664728,"\cos(2x)+2(\sin(x))^2 = 1"
9889984281,"2(\sin(x))^2 = 1-\cos(2x)"
9988949211,"(\sin(x))^2 = \frac{1-\cos(2x)}{2}"
4978429483,"\exp(-i\ x) = \cos(-x)+i \sin(-x)"
4929218492,"a+b = c"
4929482992,"b = 2"
4984892984,"a+2 = c"
2948293829,"a = b"
9482948292,"b = c"
4828238421,"a = c"
9829420421,"b = a"
9999999965,"E = \omega \hbar"
9999999964,"\omega = c k"
9999999963,"\lambda = h/p"
9999999962,"p = \hbar k"
9999999960,"\hbar= h/(2 \pi)"
9999999957,"\vec{F} = -\vec{\nabla} V"
9999999956,"\vec{F} = \frac{\partial}{\partial t}\vec{p}"
9999999955,"\vec{E} = -\vec{\nabla} \Psi"
9999999954,"c = 1/\sqrt{\epsilon_0 \mu_0}"
9999999953,"\int_{-\infty}^{\infty} \delta(x)\ dx = 1"
9999999952,"f(x) \delta(x-a) = f(a)"
9999999951,"\langle x | k \rangle = \frac{\exp(ikx)}{\sqrt{2\pi}}"
9999999950,"\beta = 1/(k_{Boltzmann}T)"
9999999999,"Newton = kilogram*meter/(second^2)"
9999999998,"Joule = Newton*meter"
9999999997,"Watt=Joule/second"
9999999996,"Coulomb=Ampere/second"
9999999995,"Volt=Joule/Coulumb"
